team,type,subtype,session,start_frame,start_time,end_frame,end_time,from,to,start_x,start_y,end_x,end_y,phase
Away,PASS,PASS,1,3365,336.5,3376,337.6,B20,B21,0.38,0.62,0.43,0.72,1
Home,CHALLENGE,TACKLE-LOST,1,3392,339.2,3392,339.2,A06,,0.48,0.72,,,1
Away,CHALLENGE,TACKLE-WON,1,3394,339.4,3394,339.4,B21,,0.48,0.73,,,1
Away,PASS,PASS,1,3394,339.4,3410,341.0,B21,B15,0.48,0.73,0.46,0.88,1
Away,PASS,PASS,1,3410,341.0,3419,341.9,B15,B19,0.46,0.88,0.53,0.97,1
Away,BALL OUT,BALL OUT,1,3426,342.6,3439,343.9,B19,,0.56,0.95,0.75,1.0,1
Home,SET PIECE,THROW IN,1,3488,348.8,3488,348.8,A04,,,,,,1
Home,PASS,PASS,1,3488,348.8,3505,350.5,A04,A06,0.72,1.01,0.71,0.75,1
Home,PASS,PASS,1,3528,352.8,3545,354.5,A06,A05,0.68,0.69,0.68,0.44,1
Home,PASS,PASS,1,3566,356.6,3573,357.3,A05,A06,0.61,0.33,0.61,0.47,1
Home,PASS,PASS,1,3597,359.7,3609,360.9,A06,A04,0.59,0.45,0.57,0.74,1
Home,PASS,PASS,1,3651,365.1,3659,365.9,A04,A08,0.42,0.85,0.37,0.97,1
Home,PASS,PASS,1,3668,366.8,3683,368.3,A08,A04,0.37,0.96,0.43,0.89,1
Home,PASS,PASS,1,3705,370.5,3717,371.7,A04,A03,0.42,0.83,0.54,0.68,1
Home,PASS,PASS,1,3733,373.3,3750,375.0,A03,A05,0.55,0.63,0.5,0.24,1
Home,PASS,PASS,1,3760,376.0,3772,377.2,A05,A01,0.49,0.22,0.38,0.03,1
Home,PASS,PASS,1,3784,378.4,3790,379.0,A01,A05,0.4,0.05,0.49,0.13,1
Home,BALL LOST,INTERCEPTION,1,3790,379.0,3794,379.4,A05,,0.49,0.13,0.46,0.28,1
Away,RECOVERY,INTERCEPTION,1,3793,379.3,3793,379.3,B23,,0.47,0.25,,,1
Away,BALL LOST,INTERCEPTION,1,3793,379.3,3810,381.0,B23,,0.47,0.25,0.54,0.42,1
Home,RECOVERY,INTERCEPTION,1,3810,381.0,3810,381.0,A03,,0.54,0.44,,,1
Home,PASS,PASS,1,3810,381.0,3816,381.6,A03,A06,0.54,0.44,0.48,0.36,1
